
===== sort by CUMULATIVE time (top 35) =====
         1631662 function calls in 10.761 seconds

   Ordered by: cumulative time
   List reduced from 76 to 35 due to restriction <35>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    1.039    1.039   10.761   10.761 profile_escalation_decode.py:295(_body)
      500    0.000    0.000    8.645    0.017 connection.py:1535(execute)
      500    8.645    0.017    8.645    0.017 {method 'execute' of 'iai_mcp_native.engine.RawConn' objects}
      410    0.001    0.000    8.637    0.021 _ro_pool.py:236(execute)
       40    0.041    0.001    6.955    0.174 profile_escalation_decode.py:174(_sql_window_labels)
       40    0.047    0.001    1.881    0.047 profile_escalation_decode.py:85(_raw_fetch_for_labels)
   144000    0.073    0.000    0.628    0.000 _table.py:432(_decode_raw_row_embedding)
   144000    0.047    0.000    0.535    0.000 _table.py:334(_decode_embedding)
   144000    0.437    0.000    0.437    0.000 {method 'tolist' of 'numpy.ndarray' objects}
       40    0.012    0.000    0.238    0.006 {method 'sort' of 'list' objects}
   144000    0.227    0.000    0.227    0.000 profile_escalation_decode.py:320(<lambda>)
      410    0.074    0.000    0.074    0.000 {method 'fetchall' of 'iai_mcp_native.engine.Cursor' objects}
   144000    0.042    0.000    0.042    0.000 {built-in method numpy.frombuffer}
   288580    0.018    0.000    0.018    0.000 {built-in method builtins.isinstance}
      360    0.008    0.000    0.014    0.000 {method 'join' of 'str' objects}
   144000    0.013    0.000    0.013    0.000 {method 'append' of 'list' objects}
      180    0.000    0.000    0.012    0.000 {built-in method builtins.next}
      180    0.000    0.000    0.012    0.000 _db.py:1510(ro_conn)
   144040    0.012    0.000    0.012    0.000 {method 'get' of 'dict' objects}
       90    0.000    0.000    0.012    0.000 contextlib.py:132(__enter__)
       90    0.000    0.000    0.011    0.000 _ro_pool.py:311(borrow)
       90    0.000    0.000    0.010    0.000 _ro_pool.py:365(_borrow_prepared)
   144000    0.008    0.000    0.008    0.000 {method 'add' of 'set' objects}
       40    0.000    0.000    0.007    0.000 profile_escalation_decode.py:81(_representative_vec)
       40    0.003    0.000    0.007    0.000 neural_map.py:39(embed)
   144360    0.005    0.000    0.005    0.000 profile_escalation_decode.py:101(<genexpr>)
      370    0.001    0.000    0.002    0.000 {method 'extend' of 'list' objects}
      410    0.000    0.000    0.001    0.000 _ro_pool.py:34(_slow_ro_execute_log_ms)
       40    0.001    0.000    0.001    0.000 {built-in method builtins.sum}
      500    0.000    0.000    0.001    0.000 <frozen _collections_abc>:804(get)
     4410    0.001    0.000    0.001    0.000 profile_escalation_decode.py:202(<genexpr>)
       90    0.000    0.000    0.001    0.000 contextlib.py:141(__exit__)
    15360    0.001    0.000    0.001    0.000 {method 'random' of '_random.Random' objects}
      500    0.001    0.000    0.001    0.000 <frozen os>:709(__getitem__)
       90    0.000    0.000    0.001    0.000 _ro_pool.py:307(__exit__)



===== sort by TOTAL (self) time (top 35) =====
         1631662 function calls in 10.761 seconds

   Ordered by: internal time
   List reduced from 76 to 35 due to restriction <35>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      500    8.645    0.017    8.645    0.017 {method 'execute' of 'iai_mcp_native.engine.RawConn' objects}
        1    1.039    1.039   10.761   10.761 profile_escalation_decode.py:295(_body)
   144000    0.437    0.000    0.437    0.000 {method 'tolist' of 'numpy.ndarray' objects}
   144000    0.227    0.000    0.227    0.000 profile_escalation_decode.py:320(<lambda>)
      410    0.074    0.000    0.074    0.000 {method 'fetchall' of 'iai_mcp_native.engine.Cursor' objects}
   144000    0.073    0.000    0.628    0.000 _table.py:432(_decode_raw_row_embedding)
