
===== sort by CUMULATIVE time (top 35) =====
         2201602 function calls in 8.930 seconds

   Ordered by: cumulative time
   List reduced from 97 to 35 due to restriction <35>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.463    0.463    8.930    8.930 profile_escalation_decode.py:295(_body)
       40    0.613    0.015    8.459    0.211 _table.py:1225(to_row_dicts)
       40    0.105    0.003    6.944    0.174 _table.py:1022(_ann_knn_fetch_core)
      400    0.000    0.000    6.619    0.017 connection.py:1535(execute)
      400    6.619    0.017    6.619    0.017 {method 'execute' of 'iai_mcp_native.engine.RawConn' objects}
      360    0.001    0.000    6.617    0.018 _ro_pool.py:236(execute)
   144000    0.073    0.000    0.681    0.000 _table.py:432(_decode_raw_row_embedding)
   144000    0.046    0.000    0.588    0.000 _table.py:334(_decode_embedding)
   144040    0.491    0.000    0.491    0.000 {method 'tolist' of 'numpy.ndarray' objects}
       40    0.031    0.001    0.177    0.004 {method 'sort' of 'list' objects}
   144000    0.146    0.000    0.146    0.000 _table.py:1275(<lambda>)
       40    0.000    0.000    0.092    0.002 _vecindex.py:76(knn_query)
       40    0.092    0.002    0.092    0.002 {method 'knn_query' of 'builtins.ExactIndex' objects}
      360    0.069    0.000    0.069    0.000 {method 'fetchall' of 'iai_mcp_native.engine.Cursor' objects}
   432040    0.044    0.000    0.044    0.000 {method 'get' of 'dict' objects}
   144000    0.042    0.000    0.042    0.000 {built-in method numpy.frombuffer}
   288680    0.018    0.000    0.018    0.000 {built-in method builtins.isinstance}
      400    0.009    0.000    0.014    0.000 {method 'join' of 'str' objects}
   144040    0.014    0.000    0.014    0.000 {built-in method builtins.min}
   144000    0.013    0.000    0.013    0.000 {built-in method builtins.max}
   144040    0.013    0.000    0.013    0.000 {method 'append' of 'list' objects}
   144000    0.010    0.000    0.010    0.000 {method 'add' of 'set' objects}
       40    0.000    0.000    0.007    0.000 profile_escalation_decode.py:81(_representative_vec)
       40    0.003    0.000    0.006    0.000 neural_map.py:39(embed)
